,time,open,high,low,close,volume
0,2017-12-15,5.49,5.49,5.49,5.49,18100
1,2017-12-18,5.49,5.49,5.49,5.49,1000
2,2017-12-19,5.49,5.49,5.49,5.49,0
3,2017-12-20,5.49,5.49,5.49,5.49,0
4,2017-12-21,5.49,5.49,5.49,5.49,0
5,2017-12-22,5.49,5.49,5.49,5.49,0
6,2017-12-25,5.49,5.49,5.49,5.49,0
7,2017-12-26,5.49,5.49,5.49,5.49,7800
8,2017-12-27,5.49,5.49,5.49,5.49,0
9,2017-12-28,5.49,5.49,5.49,5.49,1800
10,2017-12-29,5.49,5.49,5.49,5.49,0
11,2018-01-02,5.49,5.49,5.49,5.49,0
12,2018-01-03,5.49,5.49,5.49,5.49,0
13,2018-01-04,5.49,5.49,5.49,5.49,0
14,2018-01-05,5.49,5.49,5.49,5.49,0
15,2018-01-08,5.49,5.49,5.49,5.49,0
16,2018-01-09,5.49,5.49,5.49,5.49,0
17,2018-01-10,5.49,5.49,5.49,5.49,0
18,2018-01-11,5.49,5.49,5.49,5.49,0
19,2018-01-12,5.49,5.49,5.49,5.49,0
20,2018-01-15,5.49,5.49,5.49,5.49,0
21,2018-01-16,5.49,5.49,5.49,5.49,2900
22,2018-01-17,5.49,5.49,5.49,5.49,0
23,2018-01-18,5.49,5.49,5.49,5.49,0
24,2018-01-19,5.49,5.49,5.49,5.49,0
25,2018-01-22,5.49,5.49,5.49,5.49,0
26,2018-01-23,5.49,5.49,5.49,5.49,0
27,2018-01-24,5.49,5.49,5.49,5.49,0
28,2018-01-25,5.49,5.49,5.49,5.49,0
29,2018-01-26,5.49,5.49,5.49,5.49,0
30,2018-01-29,5.49,5.49,5.49,5.49,0
31,2018-01-30,5.49,5.49,5.49,5.49,0
32,2018-01-31,5.49,5.49,5.49,5.49,0
33,2018-02-01,5.49,5.49,5.49,5.49,0
34,2018-02-02,5.49,5.49,5.49,5.49,0
35,2018-02-05,5.49,5.49,5.49,5.49,0
36,2018-02-06,5.49,5.49,5.49,5.49,0
37,2018-02-07,5.49,5.49,5.49,5.49,0
38,2018-02-08,5.49,5.49,5.49,5.49,0
39,2018-02-09,5.49,5.49,5.49,5.49,0
40,2018-02-12,5.49,5.49,5.49,5.49,0
41,2018-02-13,5.49,5.49,5.49,5.49,0
42,2018-02-21,5.49,5.49,5.49,5.49,0
43,2018-02-22,5.49,5.49,5.49,5.49,0
44,2018-02-23,5.49,5.49,5.49,5.49,0
45,2018-02-26,5.49,5.49,5.49,5.49,0
46,2018-02-27,5.49,5.49,5.49,5.49,0
47,2018-02-28,5.49,5.49,5.49,5.49,0
48,2018-03-01,5.49,5.49,5.49,5.49,0
49,2018-03-02,5.49,5.49,5.49,5.49,0
50,2018-03-05,5.49,5.49,5.49,5.49,0
51,2018-03-06,5.49,5.49,5.49,5.49,0
52,2018-03-07,5.49,5.49,5.49,5.49,0
53,2018-03-08,5.49,5.49,5.49,5.49,0
54,2018-03-09,5.49,5.49,5.49,5.49,0
55,2018-03-12,5.49,5.49,5.49,5.49,0
56,2018-03-13,5.49,5.49,5.49,5.49,0
57,2018-03-14,5.49,5.49,5.49,5.49,0
58,2018-03-15,5.49,5.49,5.49,5.49,0
59,2018-03-16,5.49,5.49,5.49,5.49,0
60,2018-03-19,5.49,5.49,5.49,5.49,0
61,2018-03-20,5.49,5.49,5.49,5.49,0
62,2018-03-21,5.49,5.49,5.49,5.49,0
63,2018-03-22,5.49,5.49,5.49,5.49,0
64,2018-03-23,5.49,5.49,5.49,5.49,0
65,2018-03-26,5.49,5.49,5.49,5.49,0
66,2018-03-27,5.49,5.49,5.49,5.49,0
67,2018-03-28,5.49,5.49,5.49,5.49,0
68,2018-03-29,5.49,5.49,5.49,5.49,0
69,2018-03-30,5.49,5.49,5.49,5.49,0
70,2018-04-02,5.49,5.49,5.49,5.49,0
71,2018-04-03,5.49,5.49,5.49,5.49,0
72,2018-04-04,5.49,5.49,5.49,5.49,0
73,2018-04-05,5.49,5.49,5.49,5.49,0
74,2018-04-06,5.49,5.49,5.49,5.49,0
75,2018-04-09,5.49,5.49,5.49,5.49,0
76,2018-04-10,5.49,5.49,5.49,5.49,0
77,2018-04-11,5.49,5.49,5.49,5.49,0
78,2018-04-12,5.49,5.49,5.49,5.49,0
79,2018-04-13,5.49,5.49,5.49,5.49,0
80,2018-04-16,5.49,5.49,5.49,5.49,0
81,2018-04-17,5.49,5.49,5.49,5.49,0
82,2018-04-18,5.49,5.49,5.49,5.49,0
83,2018-04-19,5.49,5.49,5.49,5.49,0
84,2018-04-20,5.49,5.49,5.49,5.49,0
85,2018-04-23,5.49,5.49,5.49,5.49,0
86,2018-04-24,5.49,5.49,5.49,5.49,0
87,2018-04-26,5.49,5.49,5.49,5.49,0
88,2018-04-27,5.49,5.49,5.49,5.49,0
89,2018-05-02,5.49,5.49,5.49,5.49,0
90,2018-05-03,5.49,5.49,5.49,5.49,0
91,2018-05-04,5.49,5.49,5.49,5.49,0
92,2018-05-07,5.49,5.49,5.49,5.49,0
93,2018-05-08,5.49,5.49,5.49,5.49,0
94,2018-05-09,5.49,5.49,5.49,5.49,0
95,2018-05-10,5.49,5.49,5.49,5.49,0
96,2018-05-11,5.49,5.49,5.49,5.49,0
97,2018-05-14,5.49,5.49,5.49,5.49,0
98,2018-05-15,5.49,5.49,5.49,5.49,0
99,2018-05-16,5.49,5.49,5.49,5.49,0
100,2018-05-17,5.48,5.48,5.48,5.48,0
101,2018-05-18,5.48,5.48,5.48,5.48,0
102,2018-05-21,5.48,5.48,5.48,5.48,0
103,2018-05-22,5.48,5.48,5.48,5.48,0
104,2018-05-23,5.48,5.48,5.48,5.48,0
105,2018-05-24,5.48,5.48,5.48,5.48,0
106,2018-05-25,5.48,5.48,5.48,5.48,0
107,2018-05-28,5.48,5.48,5.48,5.48,0
108,2018-05-29,5.48,5.48,5.48,5.48,0
109,2018-05-30,5.48,5.48,5.48,5.48,0
110,2018-05-31,5.83,5.83,5.83,5.83,3000
111,2018-06-01,5.83,5.83,5.83,5.83,0
112,2018-06-04,5.83,5.83,5.83,5.83,0
113,2018-06-05,5.83,5.83,5.83,5.83,4100
114,2018-06-06,5.83,5.83,5.83,5.83,0
115,2018-06-07,5.83,5.83,5.83,5.83,0
116,2018-06-08,5.83,5.83,5.83,5.83,0
117,2018-06-11,5.83,5.83,5.83,5.83,0
118,2018-06-12,5.83,5.83,5.83,5.83,0
119,2018-06-13,5.83,5.83,5.83,5.83,0
120,2018-06-14,5.83,5.83,5.83,5.83,0
121,2018-06-15,5.83,5.83,5.83,5.83,0
122,2018-06-18,5.83,5.83,5.83,5.83,0
123,2018-06-19,5.83,5.83,5.83,5.83,0
124,2018-06-20,5.83,5.83,5.83,5.83,0
125,2018-06-21,5.83,5.83,5.83,5.83,1800
126,2018-06-22,5.83,5.83,5.83,5.83,2200
127,2018-06-25,5.83,5.83,5.83,5.83,0
128,2018-06-26,5.83,5.83,5.83,5.83,22800
129,2018-06-27,5.83,5.83,5.83,5.83,4000
130,2018-06-28,5.83,5.83,5.83,5.83,1400
131,2018-06-29,5.83,5.83,5.83,5.83,1000
132,2018-07-02,5.83,5.83,5.83,5.83,0
133,2018-07-03,5.83,5.83,5.83,5.83,3100
134,2018-07-04,5.83,5.83,5.83,5.83,0
135,2018-07-05,5.83,5.83,5.83,5.83,0
136,2018-07-06,5.83,5.83,5.83,5.83,0
137,2018-07-09,5.83,5.83,5.83,5.83,0
138,2018-07-10,5.83,5.83,5.83,5.83,0
139,2018-07-11,5.83,5.83,5.83,5.83,0
